Index,Sentences,URL
63,['full-equip / groupe-elec / clean air-clim froid / tres'],facebook.com/marketplace/item/978382826828231/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
64,"['automatic2.0l 120,000 km very clean 4 doors color gray', 'it rolls super well accident rebuilt rebuilt title camera', 'rolls super well accident rebuilt rebuilt title camera air', 'super well accident rebuilt rebuilt title camera air air']",facebook.com/marketplace/item/297497582786661/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
66,['interior and exterior extremely clean._ no rust point.car rolls'],facebook.com/marketplace/item/116391651529297/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
71,['at two weeks never accident heated seats apple carplay'],facebook.com/marketplace/item/698983615375811/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
73,"['gasoline clean carfax remote starter new', 'gasoline clean carfax remote starter new battery']",facebook.com/marketplace/item/3604115349820449/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
76,['it ! it is clean and has always been'],facebook.com/marketplace/item/1321477128578042/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
77,"['2 key , never accident * camera reversing ,', 'available on request * carfax/carproof * .']",facebook.com/marketplace/item/238920702428125/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
79,['- mechanique inspection and carfax report available.- indoor exhibition'],facebook.com/marketplace/item/1011262216564962/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
80,"['peace of mind ! carfax available for free better', '! very clean interior and exterior !']",facebook.com/marketplace/item/1016550723097766/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
82,['all our cars are inspected.carfax available on site.all vehicles'],facebook.com/marketplace/item/1299122254300778/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
87,"['carfax disponible , , ,']",facebook.com/marketplace/item/797313695206617/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
92,"['repairs required , minor damage before on the front', 'pls note the car clean title , no rebuilt', 'clean title , no rebuilt or vga , saaq', 'saaq sefty inspection & carfax available , finance available', 'inspection saaq sefty et carfax disponibles , financement disponible']",facebook.com/marketplace/item/1090437038599336/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
93,"['civic exl 2012 very clean and any team ,']",facebook.com/marketplace/item/6559826067397378/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
96,"[', 3 months of use.clean fabric inside.price- > $']",facebook.com/marketplace/item/215464144811263/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
100,"['cheap in gas no accident clean inside and outside', 'in gas no accident clean inside and outside push']",facebook.com/marketplace/item/180607615028572/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
105,['having winter tires on mag.accident vga'],facebook.com/marketplace/item/3505153003042727/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
109,"['.very good condition , clean and well maintained .']",facebook.com/marketplace/item/239219805704052/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
110,"['clean title , no accidents']",facebook.com/marketplace/item/2045770199088682/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
111,['clean title in hand'],facebook.com/marketplace/item/1317029535914773/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
113,"['civic dx .. no accident clean title * fresh', 'dx .. no accident clean title * fresh front']",facebook.com/marketplace/item/791439066010982/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
116,['2016 honda civic lx rebuilt title low mileage |'],facebook.com/marketplace/item/1477491013024360/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
117,"['km 74000 km no accident clean title certify no', '74000 km no accident clean title certify no extra']",facebook.com/marketplace/item/1318471945739747/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
120,['selling 2007 honda civic clean tittle no issues at'],facebook.com/marketplace/item/198862602906829/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
125,"['no acccidents no damage clean record', 'no acccidents no damage clean record']",facebook.com/marketplace/item/179329438382239/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
126,"['well custom rims very clean in n out no', 'not too loud ) clean title 195,000 original kms']",facebook.com/marketplace/item/1058951268808905/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
127,"['no accidents clean carfax safety certified fully', 'no accidents clean carfax safety certified fully loaded']",facebook.com/marketplace/item/1241305629907314/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
129,['one owner clean title .'],facebook.com/marketplace/item/194054823651362/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
130,"['split folding seat , clean title , lots more', 'carfax //vhr.carfax.ca/en-ca/ ? id=sts/kvmk2fcmpkt5u3lxrxsonqj9ek2t for', 'carfax //vhr.carfax.ca/en-ca/ ? id=sts/kvmk2fcmpkt5u3lxrxsonqj9ek2t for more']",facebook.com/marketplace/item/995211568480135/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
134,['clean car inside and out'],facebook.com/marketplace/item/832843681776397/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
136,"['* 878 * 5551 clean title extra clean back', '5551 clean title extra clean back up camera bluetooth']",facebook.com/marketplace/item/183351274603680/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
138,"[""vehicle has a `` rebuilt '' title but drives""]",facebook.com/marketplace/item/200233046084339/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
143,['honda civic ex - clean title !'],facebook.com/marketplace/item/1317457218857548/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
144,['2016 honda civic ex clean title | keyless entry'],facebook.com/marketplace/item/809462954053836/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
146,"['only 137000 kms , clean carfax no accident wont', '137000 kms , clean carfax no accident wont last', ', clean carfax no accident wont last long call']",facebook.com/marketplace/item/1321088298792807/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
148,['hatchback 2018 no accidents clean sedan blind spot camera'],facebook.com/marketplace/item/972651987175583/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
149,"['ex - $ 10,899.99 clean title * 4 all', 'carfax available upon viewing *']",facebook.com/marketplace/item/209962445362428/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
150,"['2007 honda civic ex- accident free- sunroof-gta * alloy', '* very clean inside and out ,', 'out , no paint damage * power windows *']",facebook.com/marketplace/item/2053765638288744/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
155,"['system alloy wheels has accident has carfax report ,', 'wheels has accident has carfax report , ask dealer']",facebook.com/marketplace/item/3737951093146126/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
156,['rebuilt winter tires included'],facebook.com/marketplace/item/679620574029759/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
157,['no accidents & clean title .'],facebook.com/marketplace/item/1018971512886975/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
161,['financing available one owner clean title get approved call'],facebook.com/marketplace/item/613457977441355/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
171,['civic lx no issue carfax available finance available 23999'],facebook.com/marketplace/item/250410364125242/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
173,['2018 honda civic se accident free laneassist push button'],facebook.com/marketplace/item/1315575189044652/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
174,['161k km booking clean antirust system in the'],facebook.com/marketplace/item/668282188539394/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
178,"['clean car fax report ,']",facebook.com/marketplace/item/1676839339451389/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
179,['ex 4dr sedan no accident certified mississauga honda dealership'],facebook.com/marketplace/item/2018869068464615/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
181,"['professionally detailed * + re-clean at time of delivery', '* clean title - no accidents']",facebook.com/marketplace/item/1540051109862198/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
182,"['clean carfax no accidents ,', 'clean carfax no accidents , white', 'a complimentary carfax history report is also']",facebook.com/marketplace/item/670117231804885/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
184,"['11,999 + hst * clean title - no accidents']",facebook.com/marketplace/item/1189532385336513/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
186,['change cruise control no accident engine and transmission are'],facebook.com/marketplace/item/831126318718353/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
188,['- 53k km - clean title car has no'],facebook.com/marketplace/item/836861318068435/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
190,"['professionally detailed * + re-clean at time of delivery', '* clean title - no accidents']",facebook.com/marketplace/item/263345033076753/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
193,"['civic lx automatic no accident , clean title low', 'automatic no accident , clean title low mileage *']",facebook.com/marketplace/item/982625282980008/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
198,"['system alloy wheels has accident has carfax report ,', 'wheels has accident has carfax report , ask dealer']",facebook.com/marketplace/item/220586284315586/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
199,"['clean title , financing available', 'one minor accident .']",facebook.com/marketplace/item/2823515074454253/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
204,"['sdn lx fwd no accident , low km ,']",facebook.com/marketplace/item/1763650150757188/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
207,['clean car * as is'],facebook.com/marketplace/item/1000402081394280/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
208,"['cvt ) 4dr sedan clean carfax , finished in', ') 4dr sedan clean carfax , finished in white']",facebook.com/marketplace/item/240164455613587/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
220,"['tooth and heated seats.very clean ! carfax report available', 'heated seats.very clean ! carfax report available .']",facebook.com/marketplace/item/3088629961431954/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
221,"['needs nothing for safety clean title , no accidents']",facebook.com/marketplace/item/252181557670151/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
225,"['rebuilt , selling with safety']",facebook.com/marketplace/item/2523156061200439/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
227,"['extended warranty is available clean title financing available everyone', 'civic just in very clean inside and out ,', 'carfax is available only in']",facebook.com/marketplace/item/163195973447820/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
229,"['with winter tyres , clean carfax , two pair', 'winter tyres , clean carfax , two pair of']",facebook.com/marketplace/item/1332724830658583/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
231,['very clean car'],facebook.com/marketplace/item/1765995993870671/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
233,"['trade for new brz carfax - clean !', 'new brz carfax - clean !']",facebook.com/marketplace/item/1015628026149508/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
234,['very clean in and out .'],facebook.com/marketplace/item/183698527902341/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
235,"['well-maintained car boasts a clean interior and exterior ,']",facebook.com/marketplace/item/991687282257823/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
245,"['safety , clean title , 4cyl ,']",facebook.com/marketplace/item/791550112724010/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
251,['2012 honda civic lx clean title & safetied engine'],facebook.com/marketplace/item/581724170835351/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
253,"['dent no mechanical issues rebuilt * * i bought', 'bought this car as rebuilt status from a dealership', 'car history nor the carfax report .']",facebook.com/marketplace/item/667220881639644/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
254,['honda civic lx hatchback clean title front emblem will'],facebook.com/marketplace/item/661693436013299/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
255,['( rebuilt in title ) .'],facebook.com/marketplace/item/3435020420071282/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
256,['very well safetied and clean title call/text for information'],facebook.com/marketplace/item/103253182868722/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
257,['price not negotiable @ clean title fresh safety private'],facebook.com/marketplace/item/1628163531023810/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
258,['paint still shine and clean from inside and from'],facebook.com/marketplace/item/1051809079148638/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
260,"['4 cyl gas very clean and only 90,000k new', '-very chep on gas -rebuilt title -second row side']",facebook.com/marketplace/item/1098641678033758/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
262,['* * not a rebuilt features air conditioning power'],facebook.com/marketplace/item/314830974219526/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
263,"['honda civic - exl clean title , safetied !']",facebook.com/marketplace/item/195543453502732/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
264,['* * not a rebuilt features air conditioning power'],facebook.com/marketplace/item/245715451640467/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
265,['honda civic lx ( clean title ) -fresh safetied'],facebook.com/marketplace/item/1514969155574564/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
267,['- safetied -clean title -private sale -'],facebook.com/marketplace/item/968410657743634/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
268,"['safety , clean title , clean carproof', ', clean title , clean carproof , 4cyl ,']",facebook.com/marketplace/item/983857989615550/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
271,['clean title new safety installed'],facebook.com/marketplace/item/336803728670653/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
274,['clean title'],facebook.com/marketplace/item/615834600370725/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
278,"['* no accident .', '* clean title * 2 set']",facebook.com/marketplace/item/250130901204285/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
279,['accepted * * * clean title * * low'],facebook.com/marketplace/item/1110945193216561/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
281,['we do not sell rebuilt cars heated seats remote'],facebook.com/marketplace/item/671244967768455/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
285,['price not negotiable @ clean title fresh safety private'],facebook.com/marketplace/item/181184654968451/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
286,['-mainly has cosmetic damage .'],facebook.com/marketplace/item/305565385337336/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
287,['engine 186400 km driven clean title no rebuild status'],facebook.com/marketplace/item/296799222871244/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
288,['a copy of the carfax for free ! !'],facebook.com/marketplace/item/750783690070749/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
289,['no accident good condition city driven'],facebook.com/marketplace/item/956721512253937/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
293,"['branded ( not a rebuilt ) .', '- has some hail damage on the hood which']",facebook.com/marketplace/item/249218911382261/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
299,"['key features : carfax report : [ carfax', 'carfax report : [ carfax link ] - assurance', '- assurance of a clean history and quality .']",facebook.com/marketplace/item/983353772889402/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
303,['carfax available ! !'],facebook.com/marketplace/item/611340357787102/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
304,"['it incurred some body damage as can be seen', 'to give it a rebuilt title , this is']",facebook.com/marketplace/item/6267782996603701/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
309,['2013 honda civic ex rebuilt status excellent on gas'],facebook.com/marketplace/item/248331101336364/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
310,"['car is rebuilt status , however is']",facebook.com/marketplace/item/291709846783232/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
311,"['i am selling my -rebuilt status -2019 ex low', 'honda company more option rebuilt status , passenger side']",facebook.com/marketplace/item/304754022078406/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
313,"['one set of keys rebuilt title due to a', 'for more information and carfax stockid : h_0378 located']",facebook.com/marketplace/item/676499877707660/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
314,"['heated seats very very clean in and out nice', 'no deant no hail damage no pets no smoking']",facebook.com/marketplace/item/1021056712390267/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
315,"['* * rebuilt status * * 2015', 'lane assist and more clean oil good tires brakes']",facebook.com/marketplace/item/669595701305972/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
316,"['* * no reported accident * * * i', 'civic sedan touring with carfax documents and basic safety']",facebook.com/marketplace/item/624362793135424/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
318,"['* * * rebuilt status * * *', 'dents back camera well maintained/clean zero issues']",facebook.com/marketplace/item/1453345425467672/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
319,['carfax available & mechanical fitness'],facebook.com/marketplace/item/303482642038394/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
321,"['clean carfax !', 'clean carfax !']",facebook.com/marketplace/item/804605194454731/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
322,['negotiable - had an accident in 2017 but fixed'],facebook.com/marketplace/item/1448363816000568/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
324,"['a/c fm am cd clean good tires rebuilt new', 'cd clean good tires rebuilt new windshield']",facebook.com/marketplace/item/951450386156255/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
326,"['smoke-free , no accident , loaded spec ,', '* 3866 whatsapp available carfax included with purchase schedule']",facebook.com/marketplace/item/594035266239966/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
329,"['km exchange policy + carfax vehicle history report +', 'sustained fire or water damage ?']",facebook.com/marketplace/item/147138951743008/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
331,"['was in a previous accident , fully inspected and', ', fully inspected and recertified .', 'rebuilt status .']",facebook.com/marketplace/item/1475898123144529/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
334,"['active status no accident clean title one owner', 'active status no accident clean title one owner since']",facebook.com/marketplace/item/1096799738390918/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
335,"['not a rebuilt car .', 'printed copy of the carfax available .']",facebook.com/marketplace/item/283025627746927/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
336,"['mileage , no reported accident comes with manual transmission']",facebook.com/marketplace/item/1278925009654956/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
340,['complete mechanical inspection and carfax .'],facebook.com/marketplace/item/205285955528344/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
342,['* 3866 whatsapp available carfax included with purchase schedule'],facebook.com/marketplace/item/2192466634285187/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
343,"['one set of keys rebuilt title due to a', 'for more information and carfax stockid : h_0378 located']",facebook.com/marketplace/item/1255400225177842/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
344,['low mileage and very clean vehicle with remote starter'],facebook.com/marketplace/item/684825823461184/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
345,['fluids are full and clean with no leaks .'],facebook.com/marketplace/item/1035748864106178/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
348,"['active title , not rebuilt or salvage .']",facebook.com/marketplace/item/835883534274168/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
349,"['performed , receipts available carfax available original owner']",facebook.com/marketplace/item/1793622244402411/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
350,"['low kilometres 137000 only rebuilt ( before and after', 'serious buyer ) small accident from the rear end', 'lady driven alberta registered clean inside and out tinted']",facebook.com/marketplace/item/994980335278291/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
351,['or claims alberta registered clean inside out new windshield'],facebook.com/marketplace/item/2546456612183973/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
353,"['carfax : https : //vhr.carfax.ca/', 'carfax : https : //vhr.carfax.ca/ ? id=h8ffl7+npmdehbdqk5t7cwfkzr0trfa6 features include']",facebook.com/marketplace/item/302351022329331/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
354,['good on gas little damage on the front number'],facebook.com/marketplace/item/1324671258435049/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
357,['pet free daily drive carfax inspection'],facebook.com/marketplace/item/269532849151333/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
358,"['well maintained , clean and have zero issues', ', disinfected and very clean -backup camera -navigation -air']",facebook.com/marketplace/item/1256812195000780/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
361,['change recently - really clean/no pets/no smoking - no'],facebook.com/marketplace/item/649516053784566/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
366,"['29 , 800 | clean carfax no accidents one', ', 800 | clean carfax no accidents one owner', 'seat , bluetooth , accident free !']",facebook.com/marketplace/item/278577671439272/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
368,['change recently - really clean/no pets/no smoking - no'],facebook.com/marketplace/item/186176411124090/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
369,"['low kilometres 116km only rebuilt ( before and after', 'serious buyer ) small accident from the side door', 'way kms alberta registered clean inside and out tinted']",facebook.com/marketplace/item/983570389461139/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
372,['no damage on any part of'],facebook.com/marketplace/item/241383448768301/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
373,['and it has a rebuilt title from the first'],facebook.com/marketplace/item/268734702438816/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
375,"['clean title .', 'in excellent condition and clean interior & exterior 4']",facebook.com/marketplace/item/3243180352646834/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
376,['local car great condition clean title small dent on'],facebook.com/marketplace/item/178540431894908/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
378,"['honda civic is super clean and has no engine', 'this car is rebuilt status !']",facebook.com/marketplace/item/141512945646575/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
380,['honda civic 2005 clean title driver side door'],facebook.com/marketplace/item/1741654686258950/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
381,['has a rebuilt title .'],facebook.com/marketplace/item/1320087498935981/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
382,"['civic ex 2016- no accident recently serviced !', 'no pet or smoke carfax available ipon request .']",facebook.com/marketplace/item/245291845116899/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
383,['carfax & inspection report available'],facebook.com/marketplace/item/280979407867602/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
385,"['for sale status : rebuilt from a small damage', 'rebuilt from a small damage ( passed from icbc']",facebook.com/marketplace/item/692435789390846/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
387,['no mechanic issues and clean title .'],facebook.com/marketplace/item/512790454371236/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
390,"['honda civic 2012 clean title only 132200 km', '5 speed automatic transmission clean interior good condition very']",facebook.com/marketplace/item/240381238916106/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
391,"['with no issues - rebuilt status 158000 km -1.8l', 'alloy wheels / ac -clean in and out if']",facebook.com/marketplace/item/2006498959742765/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
394,"['local bc vehicle , rebuilt title , safety inspection']",facebook.com/marketplace/item/257007690442928/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
395,"['honda civic 2012 ( rebuilt ) in excellent condition', 'three mirror all black.beforree rebuilt pictures also available .']",facebook.com/marketplace/item/830407721814964/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
396,"['rebuilt title , and we', 'repair , inspection and carfax reports .']",facebook.com/marketplace/item/845190830657140/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
397,"['for sale status : rebuilt from a small damage', 'rebuilt from a small damage new tries and rims']",facebook.com/marketplace/item/104719372704335/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
